Matchday;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;HTHG;HTAG;HTR;HS;AS;HST;AST;HC;AC;HF;AF;HY;AY;HR;AR
19;201217;Toulouse;Lyon;1;2;A;0;1;A;17;14;5;10;8;4;16;11;3;2;0;0
20;120118;Strasbourg;Guingamp;0;2;A;0;2;A;14;10;3;5;7;7;14;14;1;2;0;0
20;130118;Caen;Lille;0;1;A;0;1;A;15;12;7;5;5;3;15;11;3;3;1;1
20;130118;Dijon;Metz;1;1;D;1;0;H;12;12;7;6;6;7;10;15;2;2;1;0
20;130118;Montpellier;Monaco;0;0;D;0;0;D;16;13;4;6;10;6;15;10;5;1;0;0
20;130118;Nice;Amiens;1;0;H;0;0;D;20;9;7;3;7;1;10;13;1;0;0;0
20;130118;Rennes;Marseille;0;3;A;0;2;A;13;18;3;5;3;2;8;18;1;2;0;0
20;130118;Troyes;Bordeaux;0;1;A;0;1;A;8;10;3;4;2;2;15;13;4;0;0;0
20;140118;Lyon;Angers;1;1;D;0;1;A;19;9;7;2;12;1;11;18;2;4;0;1
20;140118;Nantes;Paris SG;0;1;A;0;1;A;13;20;3;3;2;5;17;11;3;2;1;0
20;140118;St Etienne;Toulouse;2;0;H;1;0;H;11;19;5;8;4;10;14;22;1;3;0;0
21;160118;Bordeaux;Caen;0;2;A;0;0;D;13;10;5;3;7;2;13;12;3;5;1;0
21;160118;Marseille;Strasbourg;2;0;H;0;0;D;15;4;7;2;7;4;6;15;2;3;0;0
21;160118;Monaco;Nice;2;2;D;1;0;H;6;9;3;5;6;3;10;12;4;4;0;0
21;170118;Amiens;Montpellier;1;1;D;0;1;A;13;16;3;5;2;3;10;6;2;1;0;0
21;170118;Angers;Troyes;3;1;H;1;0;H;12;8;5;2;8;2;15;17;0;5;0;0
21;170118;Guingamp;Lyon;0;2;A;0;1;A;8;21;3;13;3;11;20;16;2;2;0;0
21;170118;Lille;Rennes;1;2;A;1;0;H;11;22;3;12;2;9;15;4;1;0;0;0
21;170118;Metz;St Etienne;3;0;H;2;0;H;19;7;12;4;6;3;14;11;1;4;0;1
21;170118;Paris SG;Dijon;8;0;H;4;0;H;23;6;14;1;9;4;8;16;0;1;0;0
21;170118;Toulouse;Nantes;1;1;D;0;1;A;15;11;3;2;3;2;17;16;2;4;0;0
22;190118;Caen;Marseille;0;2;A;0;0;D;5;12;2;4;1;4;18;15;2;3;0;0
22;200118;Amiens;Guingamp;3;1;H;1;1;D;13;6;6;1;7;3;9;11;0;2;0;0
22;200118;Montpellier;Toulouse;2;1;H;1;1;D;22;9;5;3;5;4;18;13;1;4;0;1
22;200118;Nantes;Bordeaux;0;1;A;0;1;A;14;9;4;3;3;5;19;11;1;2;0;0
22;200118;Rennes;Angers;1;0;H;0;0;D;9;9;2;3;5;4;13;17;3;5;0;1
22;200118;Strasbourg;Dijon;3;2;H;2;2;D;16;12;9;5;5;1;17;22;1;1;0;0
22;200118;Troyes;Lille;1;0;H;1;0;H;7;9;2;1;5;6;13;10;0;2;0;0
22;210118;Lyon;Paris SG;2;1;H;1;1;D;11;11;6;3;3;7;16;11;2;3;0;1
22;210118;Monaco;Metz;3;1;H;1;0;H;13;3;6;2;6;3;11;15;1;1;0;1
22;210118;Nice;St Etienne;1;0;H;1;0;H;7;9;2;2;4;4;15;23;3;1;0;0
23;260118;Dijon;Rennes;2;1;H;1;1;D;14;13;4;4;3;5;10;17;3;2;0;0
23;270118;Angers;Amiens;1;0;H;1;0;H;16;3;7;0;5;4;14;19;1;3;0;0
23;270118;Guingamp;Nantes;0;3;A;0;0;D;6;13;0;5;3;9;9;17;2;3;0;0
23;270118;Metz;Nice;2;1;H;0;0;D;15;13;5;5;4;2;26;19;4;5;0;1
23;270118;Paris SG;Montpellier;4;0;H;2;0;H;11;16;7;3;2;10;16;11;1;2;0;0
23;270118;St Etienne;Caen;2;1;H;1;1;D;12;14;4;3;3;8;12;17;2;1;0;0
23;270118;Toulouse;Troyes;1;0;H;1;0;H;20;1;7;0;6;2;11;15;1;4;0;1
23;280118;Bordeaux;Lyon;3;1;H;3;1;H;9;9;4;4;2;1;17;12;3;3;1;0
23;280118;Lille;Strasbourg;2;1;H;0;0;D;8;11;5;2;6;2;5;11;1;1;0;0
23;280118;Marseille;Monaco;2;2;D;1;1;D;17;9;6;3;5;7;20;15;3;2;0;0
24;020218;Marseille;Metz;6;3;H;3;0;H;18;18;10;8;3;5;9;17;1;0;0;0
24;030218;Amiens;St Etienne;0;2;A;0;0;D;8;16;0;8;3;4;10;16;2;1;0;0
24;030218;Lille;Paris SG;0;3;A;0;1;A;10;19;3;9;3;9;11;4;1;1;0;0
24;030218;Montpellier;Angers;2;1;H;1;1;D;8;8;3;2;5;1;10;10;0;2;0;0
24;030218;Nice;Toulouse;0;1;A;0;0;D;14;6;2;1;11;1;14;13;2;2;0;0
24;030218;Strasbourg;Bordeaux;0;2;A;0;1;A;9;7;0;4;7;2;13;15;1;4;0;0
24;040218;Caen;Nantes;3;2;H;1;1;D;16;14;7;4;6;4;11;9;1;2;0;0
24;040218;Monaco;Lyon;3;2;H;2;2;D;12;13;7;4;3;7;18;15;3;3;1;0
24;040218;Rennes;Guingamp;0;1;A;0;0;D;13;11;5;4;4;4;20;12;2;4;0;0
25;090218;St Etienne;Marseille;2;2;D;1;2;A;7;12;3;4;2;7;12;12;0;0;0;0
25;100218;Angers;Monaco;0;4;A;0;2;A;11;10;1;6;4;3;11;6;1;0;0;0
25;100218;Bordeaux;Amiens;3;2;H;2;0;H;14;19;4;6;7;11;11;13;0;1;0;0
25;100218;Dijon;Nice;3;2;H;0;0;D;11;14;3;5;4;8;14;14;2;3;0;0
25;100218;Guingamp;Caen;0;0;D;0;0;D;6;12;1;2;1;7;12;17;1;2;0;0
25;100218;Metz;Montpellier;0;1;A;0;1;A;12;16;5;8;11;6;15;11;2;1;0;0
25;100218;Toulouse;Paris SG;0;1;A;0;0;D;3;21;1;6;0;10;20;13;4;2;0;0
25;110218;Lyon;Rennes;0;2;A;0;1;A;19;6;6;3;10;1;16;8;2;1;0;0
25;110218;Nantes;Lille;2;2;D;1;0;H;20;7;6;4;5;7;9;11;0;1;0;0
25;110218;Strasbourg;Troyes;2;1;H;0;0;D;12;12;2;4;4;6;9;14;2;2;0;0
26;160218;Monaco;Dijon;4;0;H;1;0;H;14;7;5;4;5;5;11;13;2;1;0;0
26;170218;Amiens;Toulouse;0;0;D;0;0;D;6;12;1;5;2;6;11;15;1;0;1;0
26;170218;Angers;St Etienne;0;1;A;0;0;D;19;10;4;3;10;5;14;14;1;2;0;0
26;170218;Caen;Rennes;2;2;D;1;2;A;18;11;6;5;12;11;4;8;2;0;0;0
26;170218;Montpellier;Guingamp;1;1;D;0;1;A;19;4;5;1;4;2;8;15;1;1;0;0
26;170218;Paris SG;Strasbourg;5;2;H;3;1;H;20;12;11;2;4;6;9;15;2;3;0;0
26;170218;Troyes;Metz;1;0;H;0;0;D;18;10;9;4;10;4;9;9;1;2;0;0
26;180218;Lille;Lyon;2;2;D;0;2;A;14;13;5;5;7;3;12;9;0;4;0;0
26;180218;Marseille;Bordeaux;1;0;H;1;0;H;12;5;8;1;7;4;11;12;2;2;0;0
26;180218;Nice;Nantes;1;1;D;1;1;D;12;9;4;3;14;4;13;9;2;0;0;0
24;200218;Troyes;Dijon;0;0;D;0;0;D;9;7;3;1;8;6;15;12;2;1;0;0
27;230218;Strasbourg;Montpellier;0;0;D;0;0;D;11;8;3;2;4;3;17;11;2;3;0;0
27;240218;Dijon;Caen;2;0;H;1;0;H;13;13;3;2;5;8;6;16;1;4;0;0
27;240218;Guingamp;Metz;2;2;D;1;1;D;17;5;8;2;5;5;15;16;3;4;0;0
27;240218;Lille;Angers;1;2;A;0;0;D;14;14;3;9;4;5;12;11;0;2;0;0
27;240218;Nantes;Amiens;0;1;A;0;1;A;27;8;4;1;8;6;10;16;2;2;0;0
27;240218;Rennes;Troyes;2;0;H;0;0;D;11;8;6;0;5;5;9;11;3;1;0;1
27;240218;Toulouse;Monaco;3;3;D;1;1;D;9;9;6;5;6;6;13;15;1;3;0;0
27;250218;Bordeaux;Nice;0;0;D;0;0;D;23;3;6;0;6;0;17;17;2;2;0;0
27;250218;Lyon;St Etienne;1;1;D;1;0;H;9;8;5;2;3;7;9;23;1;3;0;0
27;250218;Paris SG;Marseille;3;0;H;2;0;H;10;15;3;6;3;6;21;18;6;5;0;0
28;020318;Monaco;Bordeaux;2;1;H;1;1;D;18;6;5;1;7;3;9;13;0;1;0;0
28;020318;Nice;Lille;2;1;H;1;0;H;23;12;10;5;8;4;9;12;3;1;0;0
28;030318;Amiens;Rennes;0;2;A;0;1;A;14;18;3;5;6;3;19;16;2;3;0;0
28;030318;Angers;Guingamp;3;0;H;1;0;H;15;12;6;3;6;3;14;8;1;1;0;0
28;030318;Metz;Toulouse;1;1;D;1;0;H;12;18;1;4;4;9;7;14;0;4;1;0
28;030318;St Etienne;Dijon;2;2;D;1;1;D;13;9;7;5;8;6;10;15;0;4;0;0
28;030318;Troyes;Paris SG;0;2;A;0;0;D;10;20;2;13;2;4;7;6;3;1;0;0
28;040318;Caen;Strasbourg;2;0;H;1;0;H;7;11;4;2;5;3;14;12;4;2;0;0
28;040318;Marseille;Nantes;1;1;D;0;1;A;22;9;5;3;8;4;7;19;3;4;0;1
28;040318;Montpellier;Lyon;1;1;D;1;0;H;10;19;5;4;4;4;15;6;2;2;0;0
29;090318;Strasbourg;Monaco;1;3;A;1;3;A;29;10;5;4;5;3;13;14;0;1;0;0
29;100318;Bordeaux;Angers;0;0;D;0;0;D;12;9;2;0;3;2;10;6;0;0;0;0
29;100318;Dijon;Amiens;1;1;D;0;1;A;10;10;3;4;5;1;12;13;3;0;0;0
29;100318;Lille;Montpellier;1;1;D;1;0;H;5;13;2;4;3;6;17;12;2;2;0;0
29;100318;Nantes;Troyes;1;0;H;0;0;D;19;8;3;0;5;3;6;6;0;1;0;0
29;100318;Paris SG;Metz;5;0;H;4;0;H;18;6;10;3;9;2;10;10;0;1;0;0
29;100318;Rennes;St Etienne;1;1;D;0;1;A;18;9;7;3;8;4;16;14;0;4;0;0
29;110318;Guingamp;Nice;2;5;A;1;1;D;12;17;6;5;6;5;24;8;3;1;0;0
29;110318;Lyon;Caen;1;0;H;0;0;D;20;6;4;1;4;2;3;8;1;1;0;0
29;110318;Toulouse;Marseille;1;2;A;1;1;D;9;23;4;9;3;7;16;19;2;3;0;0
31;140318;Paris SG;Angers;2;1;H;2;0;H;14;20;7;8;7;8;7;11;1;2;1;0
30;160318;Monaco;Lille;2;1;H;1;1;D;10;14;4;5;4;2;13;10;2;0;0;0
30;170318;Amiens;Troyes;1;1;D;1;0;H;8;11;1;5;4;4;13;11;1;1;0;0
30;170318;Angers;Caen;3;0;H;2;0;H;13;8;6;2;1;4;11;9;1;2;0;0
30;170318;Bordeaux;Rennes;0;2;A;0;0;D;9;6;2;3;4;2;13;8;2;1;0;0
30;170318;Montpellier;Dijon;2;2;D;0;1;A;18;10;11;7;4;5;16;13;1;4;0;0
30;170318;Toulouse;Strasbourg;2;2;D;0;0;D;11;12;6;4;6;2;12;11;2;1;0;0
30;180318;Marseille;Lyon;2;3;A;1;1;D;10;11;5;6;2;4;12;14;2;3;0;0
30;180318;Metz;Nantes;1;1;D;1;1;D;8;15;4;4;3;4;7;10;2;0;0;0
30;180318;Nice;Paris SG;1;2;A;1;1;D;14;19;4;7;5;4;8;12;0;1;0;0
30;180318;St Etienne;Guingamp;2;0;H;1;0;H;16;9;6;3;7;5;16;12;2;3;0;0
31;310318;Dijon;Marseille;1;3;A;0;1;A;12;11;2;5;6;6;11;15;2;3;1;0
31;010418;Caen;Montpellier;1;3;A;0;2;A;8;9;5;6;4;4;22;11;2;2;0;0
31;010418;Guingamp;Bordeaux;2;1;H;0;0;D;14;15;6;6;5;5;12;14;1;2;0;0
31;010418;Lille;Amiens;0;1;A;0;0;D;15;10;3;2;3;3;9;15;0;2;0;0
31;010418;Lyon;Toulouse;2;0;H;2;0;H;20;10;5;6;8;3;14;9;1;1;0;0
31;010418;Nantes;St Etienne;0;3;A;0;1;A;20;15;4;8;6;4;16;12;3;0;0;0
31;010418;Strasbourg;Metz;2;2;D;1;1;D;18;11;5;5;5;1;16;23;5;4;1;1
31;010418;Troyes;Nice;0;2;A;0;1;A;11;15;3;6;8;5;16;5;1;0;0;0
31;040418;Rennes;Monaco;1;1;D;1;1;D;20;8;7;2;8;1;28;17;0;2;0;0
32;060418;St Etienne;Paris SG;1;1;D;1;0;H;16;8;5;2;11;3;5;16;1;4;0;1
32;070418;Amiens;Caen;3;0;H;2;0;H;11;14;4;7;7;4;14;14;3;1;0;0
32;070418;Angers;Strasbourg;1;1;D;1;0;H;3;11;2;5;2;9;10;17;1;1;0;0
32;070418;Bordeaux;Lille;2;1;H;2;1;H;15;7;6;1;7;2;14;12;1;3;0;1
32;070418;Guingamp;Troyes;4;0;H;1;0;H;15;8;10;4;9;10;11;12;1;1;0;0
32;070418;Monaco;Nantes;2;1;H;2;1;H;6;10;3;4;7;5;12;11;4;3;0;0
32;070418;Toulouse;Dijon;0;1;A;0;1;A;20;8;5;3;10;3;15;15;2;1;0;0
32;080418;Marseille;Montpellier;0;0;D;0;0;D;12;6;3;2;6;2;14;12;2;1;0;0
32;080418;Metz;Lyon;0;5;A;0;2;A;10;14;5;6;4;3;18;7;2;0;0;0
32;080418;Nice;Rennes;1;1;D;1;1;D;10;9;2;3;5;2;7;12;4;4;0;0
33;130418;Angers;Nice;1;1;D;0;0;D;12;15;3;7;4;8;14;5;1;3;0;0
33;140418;Lille;Guingamp;2;2;D;0;0;D;10;6;3;3;2;3;15;15;2;1;0;0
33;140418;Lyon;Amiens;3;0;H;1;0;H;25;5;8;2;7;5;9;11;0;0;0;0
33;140418;Nantes;Dijon;1;1;D;1;0;H;15;12;2;4;6;4;14;9;0;0;0;0
33;140418;Rennes;Metz;1;2;A;1;0;H;14;7;3;6;7;3;6;17;1;4;0;0
33;140418;Strasbourg;St Etienne;0;1;A;0;0;D;16;5;6;1;10;1;11;10;3;1;0;0
33;150418;Montpellier;Bordeaux;1;3;A;0;1;A;19;9;5;4;6;2;9;8;3;2;0;0
33;150418;Paris SG;Monaco;7;1;H;4;1;H;12;11;7;2;4;2;8;8;1;3;0;0
33;150418;Troyes;Marseille;2;3;A;1;1;D;12;21;7;9;5;8;15;8;2;2;0;0
34;200418;Dijon;Lyon;2;5;A;1;1;D;17;17;5;11;9;5;11;12;1;2;0;0
34;200418;Nantes;Rennes;1;1;D;1;0;H;13;18;7;9;5;8;17;12;6;2;1;0
34;210418;Amiens;Strasbourg;3;1;H;1;0;H;7;15;5;2;2;6;20;11;4;2;0;0
34;210418;Guingamp;Monaco;3;1;H;2;0;H;24;4;12;1;10;1;13;17;0;2;0;1
34;210418;Marseille;Lille;5;1;H;4;0;H;19;14;8;3;3;6;9;8;0;1;0;0
34;210418;Metz;Caen;1;1;D;0;0;D;15;5;3;4;7;2;9;11;2;1;0;0
34;210418;Toulouse;Angers;2;0;H;1;0;H;14;7;8;0;6;2;11;11;1;2;0;0
34;220418;Bordeaux;Paris SG;0;1;A;0;0;D;21;10;8;2;8;5;15;8;0;1;0;0
34;220418;Nice;Montpellier;1;0;H;0;0;D;16;5;4;2;3;3;10;13;0;0;0;0
34;220418;St Etienne;Troyes;2;1;H;0;1;A;18;6;6;3;7;2;5;21;0;2;0;0
33;250418;Caen;Toulouse;0;0;D;0;0;D;9;5;0;2;1;2;9;11;2;1;0;0
35;270418;Montpellier;St Etienne;0;1;A;0;1;A;25;7;5;5;9;1;9;7;0;2;0;0
35;280418;Bordeaux;Dijon;3;1;H;1;0;H;10;10;4;3;4;4;14;12;1;0;0;0
35;280418;Lille;Metz;3;1;H;2;0;H;15;14;9;4;3;5;11;12;0;2;0;0
35;280418;Lyon;Nantes;2;0;H;1;0;H;25;12;11;4;6;4;7;14;1;1;0;0
35;280418;Monaco;Amiens;0;0;D;0;0;D;16;7;1;1;6;6;9;13;1;2;1;1
35;280418;Strasbourg;Nice;1;1;D;1;0;H;9;11;2;7;3;8;18;13;2;4;0;0
35;280418;Troyes;Caen;3;1;H;2;1;H;5;13;3;2;4;5;8;16;1;2;0;0
35;290418;Angers;Marseille;1;1;D;0;1;A;14;13;6;5;4;9;9;9;1;3;0;0
35;290418;Paris SG;Guingamp;2;2;D;0;1;A;14;22;3;5;7;7;11;9;2;0;0;0
35;290418;Rennes;Toulouse;2;1;H;1;1;D;6;12;3;2;2;7;11;14;2;1;1;0
36;040518;Amiens;Paris SG;2;2;D;0;1;A;12;23;5;8;3;13;14;10;2;0;0;0
36;060518;Caen;Monaco;1;2;A;1;1;D;16;17;5;4;6;8;14;16;1;2;1;0
36;060518;Dijon;Guingamp;3;1;H;1;0;H;19;4;9;1;4;3;10;9;1;1;0;0
36;060518;Lyon;Troyes;3;0;H;2;0;H;17;13;5;4;6;8;9;9;2;2;0;0
36;060518;Marseille;Nice;2;1;H;1;1;D;18;11;8;2;9;4;18;12;1;1;0;0
36;060518;Metz;Angers;1;2;A;1;0;H;8;17;4;4;2;7;12;11;1;0;0;0
36;060518;Nantes;Montpellier;0;2;A;0;0;D;11;12;2;7;7;3;14;8;0;3;0;0
36;060518;Rennes;Strasbourg;2;1;H;1;0;H;14;7;2;3;5;5;10;11;1;1;0;0
36;060518;St Etienne;Bordeaux;1;3;A;1;2;A;16;11;3;5;5;2;12;12;2;3;0;0
36;060518;Toulouse;Lille;2;3;A;2;1;H;6;17;4;8;1;3;14;16;4;2;1;0
37;110518;Guingamp;Marseille;3;3;D;1;2;A;22;16;7;5;6;11;20;15;2;0;0;1
37;120518;Amiens;Metz;2;0;H;1;0;H;9;13;2;1;3;8;14;15;1;2;0;0
37;120518;Angers;Nantes;0;2;A;0;0;D;14;12;2;2;5;4;7;11;0;1;0;0
37;120518;Bordeaux;Toulouse;4;2;H;1;1;D;15;10;6;4;6;6;8;20;1;3;0;0
37;120518;Lille;Dijon;2;1;H;2;1;H;13;12;3;7;4;4;8;11;0;2;0;0
37;120518;Monaco;St Etienne;1;0;H;0;0;D;18;11;5;3;6;5;14;11;1;1;1;0
37;120518;Montpellier;Troyes;1;1;D;0;1;A;22;9;3;2;11;1;10;9;0;0;0;0
37;120518;Nice;Caen;4;1;H;3;0;H;21;12;8;5;4;7;10;18;0;1;0;1
37;120518;Paris SG;Rennes;0;2;A;0;0;D;14;10;5;2;7;7;12;12;1;0;0;0
37;120518;Strasbourg;Lyon;3;2;H;1;0;H;9;8;4;3;2;1;25;20;5;1;0;0
38;190518;Caen;Paris SG;0;0;D;0;0;D;11;7;6;2;2;3;15;18;3;1;0;0
38;190518;Dijon;Angers;2;1;H;1;0;H;7;16;1;8;1;9;17;7;1;2;0;0
38;190518;Lyon;Nice;3;2;H;0;1;A;23;11;8;4;8;7;15;13;3;3;0;0
38;190518;Marseille;Amiens;2;1;H;2;1;H;27;5;11;2;7;3;12;12;0;0;0;0
38;190518;Metz;Bordeaux;0;4;A;0;3;A;7;15;0;7;4;6;11;16;3;0;0;1
38;190518;Nantes;Strasbourg;1;0;H;1;0;H;9;10;2;2;2;7;6;12;0;0;0;0
38;190518;Rennes;Montpellier;1;1;D;1;1;D;9;9;1;6;8;4;10;12;0;1;0;1
38;190518;St Etienne;Lille;5;0;H;3;0;H;14;11;7;3;7;4;6;5;1;0;0;0
38;190518;Toulouse;Guingamp;2;1;H;0;0;D;17;13;7;6;9;5;9;14;3;2;0;0
38;190518;Troyes;Monaco;0;3;A;0;1;A;12;21;4;14;6;2;14;13;1;1;0;0
